how many azure items does the other network have? 	you have twelve pink cashews, you have ten maroon carrots, you have eighteen azure persimmons 	eighteen 	azure
how many yellow items does the other network have? 	you have sixteen azure eggplants, you have eighteen yellow cauliflowers, you have nineteen yellow pomegranates, you have five yellow ackees, you have two teal rutabagas, you have fourteen beige lemons, you have one yellow lingonberry, you have five yellow yams, you have nine yellow ackees 	nineteen 	yellow
how many turquoise items does the other network have? 	you have four turquoise broccoli, you have seven turquoise peas, you have ten coral longans, you have three turquoise okras, you have eight lavender nectarines, you have fourteen silver ackees 	seven 	turquoise
how many purple items does the other network have? 	you have nine yellow marulas, you have nineteen purple brussels sprouts, you have five tan nectarines 	nineteen 	purple
how many khaki items does the other network have? 	you have ten khaki walnuts, you have six green kakis, you have seven khaki walnuts, you have seven tan eggplants, you have seventeen khaki artichokes, you have twelve lime quinces 	seventeen 	khaki
how many maroon items does the other network have? 	you have five maroon leeks, you have eighteen brown bananas, you have twelve beige asparagus, you have eight maroon bananas, you have eight blue pomegranates, you have three maroon broccoli 	eight 	maroon
how many orange items does the other network have? 	you have fourteen khaki leeks, you have one orange apricot, you have one orange shallot, you have three tan zucchini, you have eight blue plantains, you have ten yellow tomatoes 	one 	orange
how many coral items does the other network have? 	you have one green cherry, you have fifteen cyan persimmons, you have four coral mushrooms 	four 	coral
how many crimson items does the other network have? 	you have nine crimson sapotes, you have six crimson broccoli, you have twelve lavender strawberries, you have fifteen crimson pecans, you have seventeen green lychees, you have eight pink walnuts 	fifteen 	crimson
how many white items does the other network have? 	you have four tan soybeans, you have eleven lime mushrooms, you have twenty white pomegranates 	twenty 	white
how many black items does the other network have? 	you have sixteen maroon quinces, you have fifteen purple broccoli, you have eleven black parsnips 	eleven 	black
how many blue items does the other network have? 	you have eleven teal kiwis, you have seven blue cauliflowers, you have six blue jackfruits, you have thirteen blue brussels sprouts, you have three indigo zucchini, you have eight violet potatoes 	thirteen 	blue
how many beige items does the other network have? 	you have ten tan dragon fruits, you have eight beige brussels sprouts, you have nine crimson strawberries 	eight 	beige
how many indigo items does the other network have? 	you have two indigo olives, you have four indigo lychees, you have ten indigo currants, you have eight ruby blackberries, you have seventeen lavender pumpkins, you have three cyan chili peppers, you have six grey tangerines, you have ten indigo kohlrabis, you have four indigo carrots 	ten 	indigo
how many grey items does the other network have? 	you have five black peas, you have twelve grey plantains, you have fourteen ruby lychees 	twelve 	grey
how many olive items does the other network have? 	you have fourteen tan turnips, you have one olive lingonberry, you have one olive pistachio, you have four olive boysenberries, you have six olive sunflower seeds, you have seventeen gold tangelos, you have six ruby watermelons, you have eight olive clementines, you have four olive pears 	eight 	olive
how many yellow items does the other network have? 	you have five yellow melons, you have eleven yellow plantains, you have sixteen yellow rutabagas, you have nine yellow mushrooms, you have ten purple ackees, you have two yellow artichokes, you have five yellow cashews, you have eleven black melons, you have seventeen purple limes 	sixteen 	yellow
how many beige items does the other network have? 	you have eighteen beige onions, you have eleven beige cherimoyas, you have fifteen beige kola nuts, you have one beige plantain, you have fifteen pink ackees, you have seventeen indigo rutabagas, you have twelve teal quinces, you have two beige dates, you have seven beige melons 	eighteen 	beige
how many pink items does the other network have? 	you have twenty grey almonds, you have two pink currants, you have twelve blue brussels sprouts 	two 	pink
how many orange items does the other network have? 	you have fourteen orange chickpeas, you have seventeen brown raspberries, you have six red plums, you have fifteen orange blackberries, you have one orange dragon fruit, you have nineteen white hazelnuts 	fifteen 	orange
how many orange items does the other network have? 	you have eighteen orange sprouts, you have three silver zucchini, you have thirteen orange walnuts, you have eight orange mushrooms, you have thirteen coral ackees, you have two black boysenberries, you have seven orange morels, you have five orange asparagus, you have three orange carrots 	eighteen 	orange
how many khaki items does the other network have? 	you have two crimson strawberries, you have three khaki carrots, you have seven red plums 	three 	khaki
how many lavender items does the other network have? 	you have ten lavender black-eyed peas, you have five lavender blackberries, you have five lavender papayas, you have five lavender shallots, you have fourteen lime leeks, you have thirteen lime figs, you have one lavender chestnut, you have four lavender tangelos, you have thirteen green persimmons 	ten 	lavender
how many turquoise items does the other network have? 	you have twenty ruby plums, you have five khaki rutabagas, you have five turquoise cabbages 	five 	turquoise
how many coral items does the other network have? 	you have eleven khaki pistachios, you have twelve coral dragon fruits, you have eight coral potatoes, you have one maroon peach, you have four tan yams, you have nineteen pink kumquats, you have four coral broccoli, you have eight coral dragon fruits, you have four coral tomatoes 	twelve 	coral
how many black items does the other network have? 	you have one coral olive, you have four indigo carrots, you have one white olive, you have twelve black figs, you have nineteen black black-eyed peas, you have seven black passion fruits 	nineteen 	black
how many lime items does the other network have? 	you have twenty lime squashes, you have five black grapefruits, you have nine lavender raspberries 	twenty 	lime
how many red items does the other network have? 	you have fourteen red sprouts, you have nineteen coral peppers, you have seven tan tangelos 	fourteen 	red
how many turquoise items does the other network have? 	you have nineteen turquoise guavas, you have eight khaki lychees, you have four grey plantains 	nineteen 	turquoise
how many silver items does the other network have? 	you have two silver lemons, you have one silver yam, you have eighteen pink tomatillos, you have nineteen cyan squashes, you have seven turquoise zucchini, you have two silver blackberries, you have one silver broccoli, you have four grey cashews, you have seven brown haricots 	two 	silver
how many gold items does the other network have? 	you have seven brown nectarines, you have one cyan sapote, you have eleven gold carrots 	eleven 	gold
how many ruby items does the other network have? 	you have nineteen lime potatoes, you have twenty ruby sunflower seeds, you have twenty cyan pears, you have twelve tan blackberries, you have twenty ruby bananas, you have eight beige bananas 	twenty 	ruby
how many crimson items does the other network have? 	you have twelve indigo cabbages, you have thirteen purple cucumbers, you have one crimson clementine 	one 	crimson
how many coral items does the other network have? 	you have fourteen ruby eggplants, you have five magenta passion fruits, you have sixteen coral turnips 	sixteen 	coral
how many tan items does the other network have? 	you have four silver tomatillos, you have one olive sunflower seed, you have seven tan jackfruits 	seven 	tan
how many gold items does the other network have? 	you have twenty gold chestnuts, you have ten crimson mushrooms, you have eight gold sapotes, you have thirteen silver cucumbers, you have five black raspberries, you have twelve gold kola nuts 	twenty 	gold
how many magenta items does the other network have? 	you have sixteen magenta limes, you have eight teal soybeans, you have four olive macadamia nuts, you have one magenta orange, you have two silver artichokes, you have seventeen magenta clementines 	seventeen 	magenta
how many orange items does the other network have? 	you have twenty tan kumquats, you have two maroon blueberries, you have six orange papayas, you have thirteen beige chestnuts, you have twenty orange cherimoyas, you have fourteen orange passion fruits 	twenty 	orange
how many black items does the other network have? 	you have eight black turnips, you have three azure kiwis, you have five black kola nuts, you have one black turnip, you have three black pecans, you have nine coral broccoli, you have eleven black broccoli, you have fourteen black almonds, you have seven lavender potatoes 	fourteen 	black
how many magenta items does the other network have? 	you have twenty magenta peas, you have nine olive walnuts, you have fourteen maroon strawberries 	twenty 	magenta
how many tan items does the other network have? 	you have thirteen orange mushrooms, you have two tan cranberries, you have six ruby pineapples, you have two orange kakis, you have three tan figs, you have twelve indigo kiwis, you have twenty lime bananas, you have three tan figs, you have one tan artichoke 	three 	tan
how many violet items does the other network have? 	you have two violet raspberries, you have one violet chickpea, you have one violet parsnip, you have two black nectarines, you have ten red eggplants, you have eight silver chestnuts, you have eleven crimson hazelnuts, you have one violet potato, you have one violet kiwi 	two 	violet
how many crimson items does the other network have? 	you have one indigo cauliflower, you have one crimson dragon fruit, you have four crimson lychees, you have two crimson peppers, you have one crimson cranberry, you have thirteen magenta okras, you have eighteen pink cabbages, you have three crimson kiwis, you have one crimson peach 	four 	crimson
how many cyan items does the other network have? 	you have twenty cyan tangelos, you have two gold brussels sprouts, you have six ruby ackees 	twenty 	cyan
how many pink items does the other network have? 	you have fifteen coral eggplants, you have thirteen crimson persimmons, you have eight pink peas, you have eighteen pink kola nuts, you have eleven maroon kola nuts, you have ten pink pomegranates 	eighteen 	pink
how many purple items does the other network have? 	you have nineteen grey tomatoes, you have three purple bananas, you have three purple daikons, you have three olive pineapples, you have seventeen brown lychees, you have ten purple watermelons, you have five purple sweet potatoes, you have four purple turnips, you have five purple figs 	ten 	purple
how many grey items does the other network have? 	you have eighteen beige nectarines, you have nine grey potatoes, you have six brown asparagus 	nine 	grey
how many blue items does the other network have? 	you have twenty blue pumpkins, you have one blue artichoke, you have nine azure brussels sprouts, you have three blue hazelnuts, you have nineteen blue parsnips, you have sixteen blue persimmons, you have thirteen lime lemons, you have thirteen teal bananas, you have one blue clementine 	twenty 	blue
how many turquoise items does the other network have? 	you have twelve khaki cherimoyas, you have one turquoise ackee, you have eighteen green pears 	one 	turquoise
how many pink items does the other network have? 	you have two pink clementines, you have thirteen violet peas, you have seven pink squashes, you have six pink nectarines, you have one pink raspberry, you have sixteen teal lentils, you have one pink banana, you have four pink eggplants, you have two tan cauliflowers 	seven 	pink
how many brown items does the other network have? 	you have twenty teal rutabagas, you have two brown tangelos, you have nine brown cherries, you have seven brown raspberries, you have four black kakis, you have thirteen pink sunflower seeds 	nine 	brown
how many purple items does the other network have? 	you have nine yellow plantains, you have nineteen purple brussels sprouts, you have nine yellow marulas, you have eleven purple eggplants, you have five tan nectarines, you have eight purple nectarines, you have two purple passion fruits, you have two purple chili peppers, you have fifteen purple cucumbers 	nineteen 	purple
how many coral items does the other network have? 	you have eight turquoise guavas, you have sixteen white avocados, you have fourteen tan daikons, you have eighteen tan clementines, you have seventeen orange chickpeas, you have five coral peanuts, you have one coral rutabaga, you have six coral olives, you have six coral olives 	six 	coral
how many cyan items does the other network have? 	you have eight cyan pomegranates, you have four beige plums, you have four cyan papayas, you have two coral lychees, you have four cyan dragon fruits, you have ten ruby broccoli 	eight 	cyan
how many silver items does the other network have? 	you have eighteen black tangelos, you have five silver nectarines, you have three teal peas 	five 	silver
how many lavender items does the other network have? 	you have fourteen purple guavas, you have eleven lavender squashes, you have seven crimson carrots 	eleven 	lavender
how many tan items does the other network have? 	you have nine tan raspberries, you have twelve tan figs, you have eight teal tangelos, you have thirteen khaki haricots, you have two white blueberries, you have three tan chickpeas 	twelve 	tan
how many red items does the other network have? 	you have eleven olive bananas, you have four silver parsnips, you have three red blueberries, you have eleven turquoise limes, you have three red peaches, you have seventeen black morels, you have twelve yellow kiwis, you have three red lentils, you have ten beige peaches 	three 	red
how many olive items does the other network have? 	you have seventeen gold tangelos, you have six ruby watermelons, you have fourteen tan turnips, you have four olive pears, you have four olive boysenberries, you have eight olive clementines 	eight 	olive
how many black items does the other network have? 	you have three beige bananas, you have three indigo peppers, you have sixteen black cranberries 	sixteen 	black
how many magenta items does the other network have? 	you have five black pears, you have two magenta kumquats, you have two magenta kohlrabis, you have nine magenta currants, you have eight white guavas, you have five magenta oranges, you have one indigo tangelo, you have seven magenta watermelons, you have two magenta tangelos 	nine 	magenta
how many coral items does the other network have? 	you have nineteen pink kumquats, you have one maroon peach, you have twelve coral dragon fruits, you have eight coral potatoes, you have four coral tomatoes, you have four tan yams 	twelve 	coral
how many black items does the other network have? 	you have one red plantain, you have seven brown soybeans, you have three black quinces, you have four indigo macadamia nuts, you have one violet lingonberry, you have three black radishes 	three 	black
how many indigo items does the other network have? 	you have thirteen indigo peppers, you have fourteen grey hazelnuts, you have two indigo morels, you have eighteen teal eggplants, you have ten indigo macadamia nuts, you have eleven indigo zucchini, you have fifteen coral yams, you have sixteen magenta oranges, you have three indigo plantains 	thirteen 	indigo
how many white items does the other network have? 	you have twelve ruby leeks, you have two white jackfruits, you have three white nectarines, you have one white plantain, you have eleven blue lychees, you have seventeen turquoise brussels sprouts 	three 	white
how many cyan items does the other network have? 	you have five cyan turnips, you have one cyan sweet potato, you have fourteen khaki lychees, you have fifteen red onions, you have four lavender lingonberries, you have four cyan peas, you have five cyan soybeans, you have fourteen olive oranges, you have fifteen brown tomatoes 	five 	cyan
how many magenta items does the other network have? 	you have six magenta peppers, you have five magenta asparagus, you have ten red morels, you have nine khaki peanuts, you have two brown boysenberries, you have one magenta cabbage 	six 	magenta
how many lavender items does the other network have? 	you have six lavender currants, you have sixteen khaki lentils, you have eight crimson blackberries 	six 	lavender
how many lime items does the other network have? 	you have fifteen beige peaches, you have fifteen crimson soybeans, you have four lime plums, you have three coral bananas, you have four lime almonds, you have eight lime brazil nuts 	eight 	lime
how many ruby items does the other network have? 	you have five ruby soybeans, you have twelve white persimmons, you have seven blue avocados, you have ten green rutabagas, you have six ruby olives, you have eight ruby sunflower seeds, you have two ruby peas, you have three ruby cauliflowers, you have twelve silver limes 	eight 	ruby
how many lime items does the other network have? 	you have twelve cyan plantains, you have sixteen lime tangelos, you have six black chestnuts 	sixteen 	lime
how many purple items does the other network have? 	you have five orange papayas, you have seventeen purple lychees, you have three lime dragon fruits 	seventeen 	purple
how many lavender items does the other network have? 	you have twelve azure marulas, you have seventeen pink kola nuts, you have four lavender daikons 	four 	lavender
how many khaki items does the other network have? 	you have nineteen pink sapotes, you have ten yellow walnuts, you have nine olive leeks, you have one khaki kumquat, you have one khaki grapefruit, you have three maroon lentils, you have two khaki blackberries, you have two khaki peaches, you have seven violet peanuts 	two 	khaki
how many green items does the other network have? 	you have fifteen green longans, you have six black brussels sprouts, you have three white peaches, you have seventeen gold lemons, you have one green pistachio, you have sixteen green cherries 	sixteen 	green
how many tan items does the other network have? 	you have six silver sweet potatoes, you have fourteen pink currants, you have three tan lingonberries, you have one tan blackberry, you have one turquoise hazelnut, you have four tan carrots, you have two tan quinces, you have two tan peanuts, you have six tan eggplants 	six 	tan
how many tan items does the other network have? 	you have thirteen tan currants, you have three azure rutabagas, you have eight tan raspberries, you have five tan soybeans, you have one coral mushroom, you have sixteen beige leeks 	thirteen 	tan
how many yellow items does the other network have? 	you have three yellow lingonberries, you have nineteen beige mangos, you have twenty blue turnips, you have two yellow beets, you have seventeen grey hazelnuts, you have one yellow tomatillo 	three 	yellow
how many ruby items does the other network have? 	you have twelve brown papayas, you have five ruby passion fruits, you have ten magenta cherimoyas 	five 	ruby
how many gold items does the other network have? 	you have two gold dragon fruits, you have four lime papayas, you have five gold melons, you have nine white pears, you have one gold cashew, you have sixteen gold apples, you have fourteen gold chestnuts, you have nineteen gold beets, you have fifteen yellow yams 	nineteen 	gold
how many azure items does the other network have? 	you have one azure quince, you have fourteen purple nectarines, you have ten azure potatoes, you have nine azure avocados, you have fifteen black mushrooms, you have twenty gold sunflower seeds 	ten 	azure
how many pink items does the other network have? 	you have eight pink peas, you have ten pink pomegranates, you have two pink brazil nuts, you have fifteen coral eggplants, you have eight pink clementines, you have eight pink grapefruits, you have eighteen pink kola nuts, you have thirteen crimson persimmons, you have eleven maroon kola nuts 	eighteen 	pink
how many silver items does the other network have? 	you have sixteen silver pomegranates, you have thirteen beige black-eyed peas, you have twenty gold kumquats, you have two lime persimmons, you have seventeen gold cashews, you have sixteen silver tangerines 	sixteen 	silver
how many green items does the other network have? 	you have ten grey haricots, you have fifteen green sapotes, you have seventeen white quinces 	fifteen 	green
how many magenta items does the other network have? 	you have five olive cauliflowers, you have three purple strawberries, you have three magenta grapefruits 	three 	magenta
how many green items does the other network have? 	you have two green passion fruits, you have seven black currants, you have seven lime onions 	two 	green
how many green items does the other network have? 	you have eleven gold beets, you have six green cherries, you have sixteen maroon cranberries 	six 	green
how many lime items does the other network have? 	you have one lime strawberry, you have fifteen beige peaches, you have eight lime brazil nuts, you have four lime brussels sprouts, you have fifteen crimson soybeans, you have four lime almonds, you have three lime passion fruits, you have three coral bananas, you have four lime plums 	eight 	lime
how many olive items does the other network have? 	you have nineteen violet pistachios, you have one lime tangerine, you have five white parsnips, you have eleven green kola nuts, you have thirteen violet cherimoyas, you have one olive guava, you have twenty azure macadamia nuts, you have one olive pineapple, you have one olive jackfruit 	one 	olive
how many red items does the other network have? 	you have one crimson lychee, you have two cyan chickpeas, you have five red grapefruits, you have five grey turnips, you have four red chili peppers, you have one red banana, you have twelve crimson kumquats, you have five red raspberries, you have four azure passion fruits 	five 	red
how many yellow items does the other network have? 	you have two violet asparagus, you have eighteen yellow brussels sprouts, you have two yellow passion fruits, you have thirteen cyan mangos, you have two magenta black-eyed peas, you have eleven yellow pistachios, you have eighteen blue apples, you have eighteen yellow lemons, you have five yellow artichokes 	eighteen 	yellow
how many lime items does the other network have? 	you have seventeen lime pecans, you have thirteen lime pistachios, you have twenty cyan longans, you have seven maroon beets, you have twenty beige pears, you have four lime kakis 	seventeen 	lime
how many brown items does the other network have? 	you have twelve blue haricots, you have five brown hazelnuts, you have six yellow limes, you have one brown boysenberry, you have thirteen ruby leeks, you have five brown radishes, you have eleven brown pumpkins, you have six brown chili peppers, you have five brown broccoli 	eleven 	brown
how many ruby items does the other network have? 	you have four ruby guavas, you have fifteen ruby lychees, you have eighteen maroon blackberries, you have four crimson apricots, you have six green nectarines, you have seven ruby guavas, you have nine ruby chickpeas, you have nineteen ruby daikons, you have three ruby sweet potatoes 	nineteen 	ruby
how many teal items does the other network have? 	you have sixteen indigo apricots, you have four red sweet potatoes, you have sixteen teal peas 	sixteen 	teal
how many grey items does the other network have? 	you have eighteen beige nectarines, you have four grey guavas, you have six brown asparagus, you have four grey tangerines, you have one grey beet, you have fourteen lavender tangelos, you have seven grey cashews, you have nine grey potatoes, you have two grey tangerines 	nine 	grey
how many lavender items does the other network have? 	you have fifteen lavender broccoli, you have one lavender beet, you have nine lavender daikons, you have ten lime brazil nuts, you have one tan tomatillo, you have eighteen lavender plums, you have two lavender blueberries, you have five blue apples, you have nine lavender daikons 	eighteen 	lavender
how many ruby items does the other network have? 	you have one ruby rutabaga, you have sixteen lime tomatillos, you have one ruby turnip, you have fourteen silver grapefruits, you have four purple plums, you have three green squashes, you have fourteen maroon dragon fruits, you have one ruby passion fruit, you have seventeen gold guavas 	one 	ruby
how many purple items does the other network have? 	you have thirteen grey peanuts, you have nine purple pistachios, you have six grey broccoli 	nine 	purple
how many pink items does the other network have? 	you have nineteen pink kumquats, you have eight white nectarines, you have five azure lychees 	nineteen 	pink
how many gold items does the other network have? 	you have thirteen turquoise oranges, you have four gold onions, you have eighteen white peppers, you have eleven gold olives, you have fifteen olive blackberries, you have fifteen gold persimmons 	fifteen 	gold
how many olive items does the other network have? 	you have ten olive plums, you have nineteen khaki blueberries, you have four orange pumpkins, you have fifteen yellow parsnips, you have six olive pineapples, you have four olive tomatillos, you have sixteen cyan grapefruits, you have ten olive beets, you have one cyan daikon 	ten 	olive
how many magenta items does the other network have? 	you have ten cyan eggplants, you have eleven silver artichokes, you have eleven crimson strawberries, you have four magenta daikons, you have two magenta pears, you have one magenta jackfruit, you have one magenta cauliflower, you have one magenta morel, you have three magenta dates 	four 	magenta
how many crimson items does the other network have? 	you have eleven crimson morels, you have eighteen silver lingonberries, you have seven crimson potatoes, you have twelve maroon beets, you have nine lavender turnips, you have seven cyan carrots, you have thirteen crimson shallots, you have six crimson cauliflowers, you have two crimson yams 	thirteen 	crimson
how many teal items does the other network have? 	you have two silver chili peppers, you have three teal rutabagas, you have twenty coral almonds, you have one teal kiwi, you have one teal cauliflower, you have three teal blueberries, you have twelve pink pomegranates, you have six lavender passion fruits, you have four teal watermelons 	four 	teal
how many crimson items does the other network have? 	you have eight crimson morels, you have ten crimson onions, you have five tan mangos, you have eleven teal quinces, you have twelve purple kohlrabis, you have thirteen cyan peaches, you have eleven crimson haricots, you have three crimson sprouts, you have one crimson cherry 	eleven 	crimson
how many beige items does the other network have? 	you have nine indigo brazil nuts, you have one red marula, you have eleven beige passion fruits 	eleven 	beige
how many magenta items does the other network have? 	you have twenty magenta peas, you have nine olive walnuts, you have six magenta passion fruits, you have two lime longans, you have two magenta jackfruits, you have eleven magenta peaches, you have fourteen maroon strawberries, you have twelve magenta lychees, you have nine magenta broccoli 	twenty 	magenta
how many silver items does the other network have? 	you have one green pea, you have twelve indigo peppers, you have fourteen violet okras, you have one silver yam, you have one silver parsnip, you have nineteen khaki blueberries 	one 	silver
how many brown items does the other network have? 	you have three grey mushrooms, you have seven brown cauliflowers, you have eight blue apples 	seven 	brown
how many tan items does the other network have? 	you have one turquoise blackberry, you have nine tan okras, you have eighteen black zucchini, you have nine tan kiwis, you have eight magenta lychees, you have fifteen purple asparagus 	nine 	tan
how many green items does the other network have? 	you have ten lavender nectarines, you have two green kiwis, you have eleven green shallots, you have ten orange beets, you have nine green raspberries, you have fourteen khaki cashews 	eleven 	green
how many black items does the other network have? 	you have nine purple turnips, you have sixteen crimson figs, you have one black fig, you have fourteen black peaches, you have fifteen black grapefruits, you have seventeen teal sapotes 	fifteen 	black
how many gold items does the other network have? 	you have two gold squashes, you have three purple bananas, you have two gold haricots, you have twelve violet marulas, you have ten ruby peaches, you have two azure lychees, you have two gold parsnips, you have six yellow asparagus, you have fourteen grey shallots 	two 	gold
how many lime items does the other network have? 	you have four lime persimmons, you have nineteen indigo pears, you have twelve magenta papayas, you have twelve lime peaches, you have six lime peppers, you have twenty black turnips, you have nine lime cucumbers, you have two lime asparagus, you have three lime sweet potatoes 	twelve 	lime
how many pink items does the other network have? 	you have nineteen ruby guavas, you have eleven beige cherimoyas, you have one pink sweet potato 	one 	pink
how many green items does the other network have? 	you have fourteen green eggplants, you have seventeen gold lemons, you have fifteen green longans, you have one green pistachio, you have one green apricot, you have three white peaches, you have one green brussels sprout, you have six black brussels sprouts, you have sixteen green cherries 	sixteen 	green
how many olive items does the other network have? 	you have four olive cranberries, you have five silver kohlrabis, you have six orange beets 	four 	olive
how many turquoise items does the other network have? 	you have seventeen brown okras, you have three turquoise cashews, you have twenty black pomegranates 	three 	turquoise
how many silver items does the other network have? 	you have seventeen turquoise kiwis, you have twenty grey marulas, you have eleven silver nectarines 	eleven 	silver
how many green items does the other network have? 	you have eighteen yellow rutabagas, you have three green dragon fruits, you have two green peppers, you have one green peach, you have eight yellow apricots, you have ten azure broccoli 	three 	green
how many yellow items does the other network have? 	you have fifteen red sprouts, you have seven yellow artichokes, you have two beige avocados 	seven 	yellow
how many cyan items does the other network have? 	you have eight cyan squashes, you have four coral leeks, you have eleven olive pomegranates, you have eight purple leeks, you have ten cyan hazelnuts, you have thirteen cyan marulas, you have eighteen cyan pomegranates, you have sixteen khaki kiwis, you have five cyan pecans 	eighteen 	cyan
how many turquoise items does the other network have? 	you have twenty turquoise peppers, you have thirteen teal cauliflowers, you have sixteen indigo pistachios 	twenty 	turquoise
how many white items does the other network have? 	you have two white cranberries, you have five brown pecans, you have one white guava, you have eight silver kola nuts, you have three white dates, you have two white clementines, you have four white radishes, you have thirteen violet cashews, you have ten red pineapples 	four 	white
how many pink items does the other network have? 	you have three pink limes, you have thirteen indigo pomegranates, you have three pink cabbages, you have one pink turnip, you have twenty turquoise figs, you have nine coral haricots, you have four pink tangerines, you have five pink brussels sprouts, you have eight pink mangos 	eight 	pink
how many grey items does the other network have? 	you have twenty maroon passion fruits, you have five grey kola nuts, you have nine violet dragon fruits 	five 	grey
how many violet items does the other network have? 	you have ten silver potatoes, you have eight green papayas, you have one violet asparagus, you have seven violet passion fruits, you have eight violet tomatillos, you have nineteen white okras 	eight 	violet
how many crimson items does the other network have? 	you have one crimson grapefruit, you have eight pink walnuts, you have seven crimson cucumbers, you have twelve lavender strawberries, you have fifteen crimson pecans, you have seventeen green lychees, you have nine crimson sapotes, you have six crimson broccoli, you have seven crimson potatoes 	fifteen 	crimson
how many ruby items does the other network have? 	you have fourteen maroon passion fruits, you have fifteen teal peppers, you have ten ruby leeks, you have seven ruby okras, you have six ruby zucchini, you have two gold turnips, you have twelve grey kumquats, you have four ruby leeks, you have three ruby chickpeas 	ten 	ruby
how many yellow items does the other network have? 	you have fifteen red sprouts, you have seven yellow artichokes, you have fourteen lime plantains, you have one yellow pineapple, you have two beige avocados, you have six yellow turnips 	seven 	yellow
how many blue items does the other network have? 	you have ten cyan morels, you have eight blue lemons, you have eight blue onions, you have two blue cherries, you have seventeen brown kohlrabis, you have two blue peppers, you have eleven magenta plums, you have ten olive kumquats, you have four blue okras 	eight 	blue
how many olive items does the other network have? 	you have three olive ackees, you have sixteen khaki guavas, you have eighteen khaki cauliflowers, you have twelve maroon beets, you have two olive haricots, you have one olive parsnip 	three 	olive
how many olive items does the other network have? 	you have eighteen olive haricots, you have fourteen olive passion fruits, you have four olive pistachios, you have one turquoise sunflower seed, you have seven magenta cranberries, you have ten blue parsnips 	eighteen 	olive
how many teal items does the other network have? 	you have two teal macadamia nuts, you have nineteen black shallots, you have seventeen brown yams 	two 	teal
how many ruby items does the other network have? 	you have two ruby cabbages, you have five lime blackberries, you have four ruby parsnips, you have six ruby longans, you have sixteen cyan strawberries, you have five maroon beets 	six 	ruby
how many white items does the other network have? 	you have one white jackfruit, you have eleven lime mushrooms, you have nineteen white chili peppers, you have four tan soybeans, you have twenty white pomegranates, you have one khaki lime 	twenty 	white
how many green items does the other network have? 	you have fifteen brown chickpeas, you have nineteen green apricots, you have four grey apples 	nineteen 	green
how many indigo items does the other network have? 	you have nineteen khaki pecans, you have two indigo lychees, you have one grey carrot, you have ten indigo jackfruits, you have twelve indigo shallots, you have two coral apples 	twelve 	indigo
how many orange items does the other network have? 	you have one coral yam, you have six azure kakis, you have twenty olive avocados, you have five orange cashews, you have two orange okras, you have three orange peaches 	five 	orange
how many black items does the other network have? 	you have four indigo apples, you have thirteen black rutabagas, you have twelve green leeks 	thirteen 	black
how many silver items does the other network have? 	you have fourteen blue pomegranates, you have six silver longans, you have ten tan olives 	six 	silver
how many green items does the other network have? 	you have nine magenta shallots, you have seven teal boysenberries, you have one green peach, you have one green papaya, you have four grey soybeans, you have one magenta papaya 	one 	green
how many cyan items does the other network have? 	you have eleven cyan brussels sprouts, you have twenty ruby pineapples, you have eleven orange macadamia nuts 	eleven 	cyan
how many pink items does the other network have? 	you have eighteen crimson yams, you have three khaki pears, you have three pink pumpkins 	three 	pink
how many tan items does the other network have? 	you have fourteen tan watermelons, you have six tan parsnips, you have eighteen coral potatoes, you have eight tan mushrooms, you have eighteen beige boysenberries, you have fifteen magenta nectarines 	fourteen 	tan
how many azure items does the other network have? 	you have nine gold pears, you have four azure quinces, you have thirteen indigo sapotes, you have twelve lime avocados, you have five azure radishes, you have five azure haricots, you have seven azure nectarines, you have three azure avocados, you have twelve azure yams 	twelve 	azure
how many grey items does the other network have? 	you have four grey turnips, you have twelve grey plantains, you have ten grey lentils, you have five black peas, you have three green papayas, you have fourteen ruby lychees, you have nine ruby tomatillos, you have eight grey brussels sprouts, you have two grey hazelnuts 	twelve 	grey
how many pink items does the other network have? 	you have twenty turquoise figs, you have nine coral haricots, you have eight pink mangos 	eight 	pink
how many ruby items does the other network have? 	you have eleven ruby tomatoes, you have twelve gold pumpkins, you have eight crimson marulas 	eleven 	ruby
how many coral items does the other network have? 	you have nineteen purple persimmons, you have two coral soybeans, you have seven turquoise sunflower seeds 	two 	coral
how many brown items does the other network have? 	you have nineteen blue sprouts, you have sixteen black chestnuts, you have two brown papayas 	two 	brown
how many turquoise items does the other network have? 	you have eight white brussels sprouts, you have eighteen ruby macadamia nuts, you have thirteen cyan passion fruits, you have two turquoise haricots, you have one turquoise pear, you have one turquoise beet 	two 	turquoise
how many red items does the other network have? 	you have seven red kohlrabis, you have fifteen red radishes, you have one red artichoke, you have seventeen red walnuts, you have one red kiwi, you have ten red boysenberries, you have two pink asparagus, you have eight yellow clementines, you have seventeen beige peaches 	seventeen 	red
how many maroon items does the other network have? 	you have three maroon mushrooms, you have eleven turquoise beets, you have nineteen yellow pecans, you have four maroon lingonberries, you have fourteen white carrots, you have one maroon nectarine, you have three maroon cherimoyas, you have thirteen orange grapefruits, you have one maroon plantain 	four 	maroon
how many ruby items does the other network have? 	you have fourteen silver haricots, you have three orange plantains, you have three ruby chili peppers 	three 	ruby
how many tan items does the other network have? 	you have fifteen crimson sapotes, you have four tan figs, you have sixteen cyan peaches, you have four tan lychees, you have six ruby peaches, you have twelve magenta pears, you have three tan beets, you have one tan radish, you have one olive lingonberry 	four 	tan
